['-0.0000520622', '-0.0000192643', '0.3073238706', '0.9999999811', '-0.0001267419', '0.0001476147', '0.0000000719', '-0.0010795159', '0.0244449763', '-0.0567544417', '0.0017296087', '0.0244450237', '-0.0567545404', '-0.0007834898', '0.0244449105', '-0.0567560284', '0.0014337988', '0.0244449583', '-0.0567561277']
['0.0055882312', '-0.0003784929', '0.4489958629', '0.9997267856', '-0.0004263752', '-0.0233703290', '0.0000087904', '-0.1169568815', '0.9091678586', '-1.6855479724', '0.1175797819', '0.9092398878', '-1.6856935855', '-0.1131372077', '1.1284291168', '-1.6778330136', '0.1136932280', '1.1285545532', '-1.6779467062']
['0.0053729584', '-0.0003923591', '0.4547058430', '0.9997395956', '-0.0004271748', '-0.0228157497', '0.0000084932', '-0.1277560786', '0.9059710071', '-1.6697531015', '0.1281648146', '0.9060455573', '-1.6698874424', '-0.1208693602', '1.1324394593', '-1.6558837600', '0.1212061754', '1.1325671848', '-1.6559862919']
['0.0051298959', '-0.0004059090', '0.4602515589', '0.9997564700', '-0.0004279960', '-0.0220639417', '0.0000081207', '-0.1372990047', '0.9006227622', '-1.6511158970', '0.1375051875', '0.9006973787', '-1.6512365267', '-0.1273364607', '1.1331407619', '-1.6318077237', '0.1274679786', '1.1332666547', '-1.6318962472']
['0.0048609316', '-0.0004191405', '0.4656214444', '0.9997765568', '-0.0004288288', '-0.0211341559', '0.0000076754', '-0.1454404860', '0.8936860557', '-1.6308012129', '0.1454580242', '0.8937581962', '-1.6309058955', '-0.1324741471', '1.1311516143', '-1.6068435771', '0.1324166362', '1.1312715914', '-1.6069157119']
['0.0045678899', '-0.0004320533', '0.4708042466', '0.9997989751', '-0.0004296638', '-0.0200455651', '0.0000071636', '-0.1520964581', '0.8856694003', '-1.6098294198', '0.1519409289', '0.8857365814', '-1.6099162668', '-0.1362703635', '1.1270480308', '-1.5820542108', '0.1360417485', '1.1271582468', '-1.5821081871']
['0.0042526460', '-0.0004446496', '0.4757893793', '0.9998228537', '-0.0004304926', '-0.0188169049', '0.0000065939', '-0.1572359774', '0.8770197905', '-1.5890666300', '0.1569240861', '0.8770797152', '-1.5891342210', '-0.1387565592', '1.1213500585', '-1.5583198950', '0.1383758128', '1.1214470682', '-1.5583546482']
['0.0039171819', '-0.0004569800', '0.4805670636', '0.9998473534', '-0.0004314046', '-0.0174666450', '0.0000060238', '-0.1608719598', '0.8681192617', '-1.5692207361', '0.1604215186', '0.8681698608', '-1.5692682331', '-0.1399991356', '1.1145142623', '-1.5363380695', '0.1394994237', '1.1145930490', '-1.5363515859']
['0.0035635010', '-0.0004690036', '0.4851239850', '0.9998714160', '-0.0004322253', '-0.0160301163', '0.0000054000', '-0.1630503525', '0.8593021263', '-1.5508358742', '0.1624787758', '0.8593417740', '-1.5508629784', '-0.1404509555', '1.1069178000', '-1.5165952708', '0.1398500727', '1.1069765912', '-1.5165885469']
['0.0031937815', '-0.0004809069', '0.4894495681', '0.9998946105', '-0.0004333090', '-0.0145113765', '0.0000046687', '-0.1640772319', '0.8507864217', '-1.5342979748', '0.1634436508', '0.8508092880', '-1.5342991367', '-0.1401735337', '1.0988713925', '-1.4994578511', '0.1394905848', '1.0989091420', '-1.4994325439']
['0.0028102355', '-0.0004925036', '0.4935371803', '0.9999164097', '-0.0004341430', '-0.0129222745', '0.0000039419', '-0.1641148197', '0.8427542869', '-1.5198697744', '0.1634316324', '0.8427607803', '-1.5198478106', '-0.1392449716', '1.0906334459', '-1.4851368719', '0.1384963956', '1.0906495201', '-1.4850951740']
