['-0.0000520622', '-0.0000192643', '0.3073238706', '0.9999999811', '-0.0001267419', '0.0001476147', '0.0000000719', '-0.0010795159', '0.0244449763', '-0.0567544417', '0.0017296087', '0.0244450237', '-0.0567545404', '-0.0007834898', '0.0244449105', '-0.0567560284', '0.0014337988', '0.0244449583', '-0.0567561277']
['2.3730174526', '0.1426792288', '0.1516015101', '0.9583111306', '0.2517813021', '-0.1347476622', '0.0094350631', '-0.6503488408', '-0.2644514798', '-1.9339487077', '0.2061094671', '0.7778434682', '-1.6418965803', '-0.6065607557', '1.4183808525', '-2.6615929618', '0.5473988414', '-0.3795919267', '-1.8585664700']
['2.3759703446', '0.1413579216', '0.1493802920', '0.9603676086', '0.2418224808', '-0.1384413360', '0.0070668737', '-0.6180094647', '-0.3051392747', '-1.7807661606', '0.2747942769', '0.7305411955', '-1.6422995603', '-0.5800207001', '1.4557325704', '-2.6933470990', '0.4871083419', '-0.4025130440', '-1.7498244520']
['2.3788917519', '0.1401095115', '0.1472102193', '0.9626644107', '0.2307978033', '-0.1413887832', '0.0043380013', '-0.5839943163', '-0.3434172448', '-1.6356545295', '0.3427428526', '0.6800625703', '-1.6455872607', '-0.5521150284', '1.4913360807', '-2.7230354245', '0.4255618870', '-0.4190223805', '-1.6451261605']
['2.3817739751', '0.1393158670', '0.1454607182', '0.9656100876', '0.2173303789', '-0.1427032754', '0.0006636130', '-0.5473129711', '-0.3787427561', '-1.5023048079', '0.4005939748', '0.6125155242', '-1.6480842490', '-0.5302778163', '1.5154977095', '-2.7401323750', '0.3764706694', '-0.4384330271', '-1.5833879298']
['2.3846683759', '0.1388682316', '0.1439849910', '0.9689091711', '0.2021323362', '-0.1426312918', '-0.0037217436', '-0.5100124755', '-0.4096206627', '-1.3837565738', '0.4519377919', '0.5377341223', '-1.6525211123', '-0.5103522373', '1.5318506599', '-2.7486167929', '0.3330011424', '-0.4573938419', '-1.5442111414']
['2.3876154453', '0.1386842556', '0.1426728266', '0.9723139945', '0.1858126307', '-0.1414394716', '-0.0086045516', '-0.4736633756', '-0.4348070122', '-1.2820474817', '0.4982380056', '0.4609943505', '-1.6598281487', '-0.4903073497', '1.5431177287', '-2.7512775839', '0.2922183564', '-0.4728387704', '-1.5170029806']
['2.3906524913', '0.1386879725', '0.1414510176', '0.9756253889', '0.1689158850', '-0.1393934371', '-0.0138561902', '-0.4393733375', '-0.4534750522', '-1.1982137170', '0.5415345176', '0.3887550956', '-1.6711343217', '-0.4695141846', '1.5512601729', '-2.7500325494', '0.2513517409', '-0.4817533108', '-1.4886888868']
['2.3937884570', '0.1388389579', '0.1402395760', '0.9787237868', '0.1517699961', '-0.1367228664', '-0.0192996183', '-0.4080040760', '-0.4651787244', '-1.1323059972', '0.5809832295', '0.3215381970', '-1.6859126644', '-0.4479483967', '1.5577568986', '-2.7462874147', '0.2113304059', '-0.4845946064', '-1.4597468290']
['2.3970300080', '0.1391094627', '0.1389907469', '0.9815466345', '0.1345681218', '-0.1335673237', '-0.0248474322', '-0.3800040471', '-0.4703165027', '-1.0834113050', '0.6160327093', '0.2597812037', '-1.7035860482', '-0.4262596886', '1.5631600305', '-2.7406265211', '0.1730298331', '-0.4815863348', '-1.4307633129']
['2.4001077324', '0.1392928448', '0.1380579595', '0.9837408550', '0.1216794384', '-0.1287648830', '-0.0294558900', '-0.3633559293', '-0.4716743092', '-1.0511073498', '0.6393476099', '0.2019383749', '-1.7230592367', '-0.4090652802', '1.5652534056', '-2.7329562591', '0.1721490517', '-0.4829258123', '-1.3907602149']
['2.4031212892', '0.1393909962', '0.1373530990', '0.9855638316', '0.1116989770', '-0.1227591769', '-0.0334283850', '-0.3545879203', '-0.4690643293', '-1.0334161260', '0.6539697997', '0.1491497010', '-1.7439563935', '-0.3949789092', '1.5648159266', '-2.7233656542', '0.1878179106', '-0.4870104107', '-1.3474293153']
['2.4061344072', '0.1394178959', '0.1368163407', '0.9871393546', '0.1037339320', '-0.1158677551', '-0.0370112036', '-0.3509965945', '-0.4629572350', '-1.0274401848', '0.6619066180', '0.1022353109', '-1.7657674473', '-0.3832537613', '1.5622961042', '-2.7119644926', '0.2094408512', '-0.4918532855', '-1.3054677856']
['2.4091866122', '0.1393838345', '0.1364020514', '0.9885305842', '0.0972442659', '-0.1082681100', '-0.0403590526', '-0.3511295197', '-0.4538820104', '-1.0310386881', '0.6649090997', '0.0616843657', '-1.7878969420', '-0.3733873677', '1.5579573165', '-2.6988874948', '0.2316356550', '-0.4959835261', '-1.2676434863']
['2.4122991493', '0.1392915040', '0.1360813296', '0.9897643369', '0.0919387522', '-0.1000812427', '-0.0435610836', '-0.3540589765', '-0.4424908356', '-1.0421127558', '0.6638861153', '0.0277576563', '-1.8097714103', '-0.3650916534', '1.5520153543', '-2.6843058440', '0.2516715024', '-0.4985061110', '-1.2354144707']
['2.4155317979', '0.1389987768', '0.1359773724', '0.9907846400', '0.0879986040', '-0.0919328665', '-0.0463723078', '-0.3581597054', '-0.4207455194', '-1.0629405691', '0.6562506279', '-0.0080925815', '-1.8189370155', '-0.3572896560', '1.5492911539', '-2.6697615539', '0.2708690776', '-0.4958718482', '-1.2099773115']
['2.4187091075', '0.1389019211', '0.1367928181', '0.9916906161', '0.0827238430', '-0.0860417198', '-0.0479928135', '-0.3580433685', '-0.4081943890', '-1.0737375471', '0.6404567132', '-0.0447781710', '-1.8166364324', '-0.3457102602', '1.5534171716', '-2.6543657833', '0.2922476846', '-0.4888302826', '-1.1895306201']
['2.4219223736', '0.1388819017', '0.1382290529', '0.9924846757', '0.0771880631', '-0.0814782507', '-0.0487592659', '-0.3558195594', '-0.3973683105', '-1.0828840882', '0.6181455046', '-0.0807297994', '-1.8051809121', '-0.3322798741', '1.5621028208', '-2.6383164145', '0.3137107853', '-0.4769510094', '-1.1748306954']
['2.4252192154', '0.1388724863', '0.1401042838', '0.9931747150', '0.0719538405', '-0.0777019715', '-0.0488777451', '-0.3527421141', '-0.3848108550', '-1.0939037236', '0.5908366597', '-0.1146994055', '-1.7866801965', '-0.3181937036', '1.5737698211', '-2.6216453884', '0.3340318625', '-0.4600768135', '-1.1659494895']
['2.4286700162', '0.1389378893', '0.1421053313', '0.9937961384', '0.0664117720', '-0.0746979302', '-0.0487742866', '-0.3485941916', '-0.3687703043', '-1.1107166754', '0.5616356904', '-0.1452839266', '-1.7631587687', '-0.3044135591', '1.5876601354', '-2.6045901240', '0.3490984949', '-0.4279927077', '-1.1686187930']
['2.4322857594', '0.1390482006', '0.1441465382', '0.9943587620', '0.0606577191', '-0.0722157847', '-0.0485404364', '-0.3448516261', '-0.3494570493', '-1.1318923323', '0.5318266859', '-0.1718742825', '-1.7363398784', '-0.2912261002', '1.6029396967', '-2.5870820987', '0.3589943073', '-0.3830916046', '-1.1796551532']
['2.4360597794', '0.1390716440', '0.1464255278', '0.9948241497', '0.0561761799', '-0.0697277604', '-0.0480331900', '-0.3438491906', '-0.3284820553', '-1.1559399122', '0.4999302511', '-0.1942350696', '-1.7075781174', '-0.2792235520', '1.6180403377', '-2.5686057124', '0.3738021186', '-0.3449751834', '-1.1848308380']
['2.4399862091', '0.1390700054', '0.1487707551', '0.9951857791', '0.0528286395', '-0.0675118035', '-0.0475032233', '-0.3450713829', '-0.3059121077', '-1.1817919075', '0.4672550420', '-0.2116588904', '-1.6779974932', '-0.2660480748', '1.6347582854', '-2.5346285698', '0.3907090067', '-0.3081874244', '-1.1880274256']
['2.4441386500', '0.1390813098', '0.1511410837', '0.9955001802', '0.0498167237', '-0.0654483018', '-0.0470553397', '-0.3475809557', '-0.2809807476', '-1.2063740793', '0.4361461871', '-0.2240819795', '-1.6489138193', '-0.2560289006', '1.6504364984', '-2.5083153278', '0.4087631248', '-0.2703693636', '-1.1913577184']
['2.4484492085', '0.1390987207', '0.1534291436', '0.9958015887', '0.0467258828', '-0.0634045630', '-0.0466449279', '-0.3497398701', '-0.2515349752', '-1.2304961090', '0.4082018007', '-0.2321090001', '-1.6211544987', '-0.2473513431', '1.6651719972', '-2.4857123600', '0.4200671687', '-0.2231970483', '-1.2006712712']
['2.4528971349', '0.1391409449', '0.1556380671', '0.9960579420', '0.0438702503', '-0.0616873286', '-0.0462455486', '-0.3524068230', '-0.2231769919', '-1.2571522332', '0.3825715855', '-0.2359044452', '-1.5949390848', '-0.2404120487', '1.6798277030', '-2.4651215282', '0.4316605795', '-0.1830722937', '-1.2265597610']
['2.4574743624', '0.1392147076', '0.1577541990', '0.9962783181', '0.0412037165', '-0.0602271767', '-0.0458743254', '-0.3552089100', '-0.1954078688', '-1.2843762910', '0.3597091206', '-0.2357916425', '-1.5707756559', '-0.2347953487', '1.6941494059', '-2.4453124272', '0.4427763800', '-0.1465682024', '-1.2602225843']
['2.4621607565', '0.1393153757', '0.1597774679', '0.9964725830', '0.0386951908', '-0.0589331347', '-0.0455187788', '-0.3578565342', '-0.1682102696', '-1.3109820763', '0.3398898122', '-0.2322252655', '-1.5490015159', '-0.2301046415', '1.7078433465', '-2.4256111057', '0.4522400376', '-0.1122026912', '-1.2975215217']
['2.4669507942', '0.1394276727', '0.1616890313', '0.9966476949', '0.0363983344', '-0.0576608808', '-0.0452079228', '-0.3605261916', '-0.1395793282', '-1.3322531171', '0.3233672389', '-0.2256983369', '-1.5298674896', '-0.2261079206', '1.7205653649', '-2.4057003974', '0.4594081070', '-0.0796011081', '-1.3356480048']
['2.4718141782', '0.1395690095', '0.1635131956', '0.9968074678', '0.0342089229', '-0.0564855325', '-0.0448776822', '-0.3624143919', '-0.1130315164', '-1.3542529896', '0.3098823907', '-0.2166339353', '-1.5133390581', '-0.2225333253', '1.7324270442', '-2.3854593630', '0.4642136707', '-0.0488289437', '-1.3725929227']
['2.4767419126', '0.1397345878', '0.1652431976', '0.9969548879', '0.0321277699', '-0.0553606068', '-0.0445416785', '-0.3639289580', '-0.0885033100', '-1.3753262515', '0.2994020634', '-0.2054802357', '-1.4994001852', '-0.2192047614', '1.7433891379', '-2.3648864947', '0.4666685794', '-0.0201456863', '-1.4070574044']
['2.4817021261', '0.1399231148', '0.1668380692', '0.9970782071', '0.0303330065', '-0.0543745244', '-0.0442534596', '-0.3660025137', '-0.0658106540', '-1.3948277032', '0.2915169148', '-0.1925316031', '-1.4878389204', '-0.2141532099', '1.7537631533', '-2.3347363799', '0.4675171080', '0.0066633727', '-1.4380688553']
['2.4867232655', '0.1401133700', '0.1683096833', '0.9971994900', '0.0286721019', '-0.0532790747', '-0.0439593888', '-0.3681853211', '-0.0435098007', '-1.4069499144', '0.2865636969', '-0.1785185717', '-1.4787042766', '-0.2107362097', '1.7634533842', '-2.3095159586', '0.4677585326', '0.0317184673', '-1.4656613864']
['2.4917536028', '0.1403208907', '0.1696891875', '0.9973182630', '0.0270109817', '-0.0521715689', '-0.0436442037', '-0.3717147504', '-0.0234966701', '-1.4205975563', '0.2841621964', '-0.1638196890', '-1.4716480399', '-0.2079181458', '1.7725206841', '-2.2867201982', '0.4677796964', '0.0556067253', '-1.4908857449']
['2.4967969505', '0.1405377291', '0.1709630839', '0.9974424641', '0.0251207618', '-0.0509652761', '-0.0433591843', '-0.3761089678', '-0.0057397327', '-1.4339554497', '0.2842956076', '-0.1488889617', '-1.4665882269', '-0.2047712823', '1.7807231522', '-2.2648945715', '0.4630715291', '0.0820152610', '-1.5065496052']
['2.5019310266', '0.1407802934', '0.1721607139', '0.9975453426', '0.0229548055', '-0.0501433337', '-0.0431510434', '-0.3774038075', '0.0158380510', '-1.4509200823', '0.2848874003', '-0.1359314946', '-1.4602060865', '-0.2036832353', '1.7884034091', '-2.2428049688', '0.4624623548', '0.1088902803', '-1.5286002112']
['2.5071507526', '0.1410321351', '0.1732587821', '0.9976303877', '0.0207154571', '-0.0495087172', '-0.0430507400', '-0.3758785994', '0.0434559977', '-1.4643264086', '0.2859883751', '-0.1251267007', '-1.4530341355', '-0.2042252617', '1.7953880920', '-2.2202317227', '0.4644200770', '0.1367117867', '-1.5542140487']
['2.5124320801', '0.1412715327', '0.1742391130', '0.9976910382', '0.0183622250', '-0.0493015334', '-0.0429508989', '-0.3740006833', '0.0705974243', '-1.4815149184', '0.2871977591', '-0.1162478277', '-1.4452850886', '-0.2058903630', '1.7990889267', '-2.1909354526', '0.4683761775', '0.1657791255', '-1.5818350502']
['2.5177617039', '0.1415312815', '0.1751564039', '0.9977376707', '0.0158113885', '-0.0492215884', '-0.0429741280', '-0.3715247477', '0.0971626664', '-1.5003262542', '0.2889485332', '-0.1094638765', '-1.4374909090', '-0.2079867643', '1.8040369372', '-2.1647350284', '0.4735272878', '0.1956344178', '-1.6101200555']
['2.5231256772', '0.1417738919', '0.1759620240', '0.9977631868', '0.0132730520', '-0.0494510153', '-0.0429772759', '-0.3689666254', '0.1238501275', '-1.5194504335', '0.2906207065', '-0.1045891075', '-1.4298230564', '-0.2105883120', '1.8063726687', '-2.1341451931', '0.4793027788', '0.2260977269', '-1.6383418266']
['2.5285097666', '0.1420347356', '0.1767137984', '0.9977779308', '0.0106385620', '-0.0497039326', '-0.0430759890', '-0.3660755629', '0.1501449411', '-1.5383236000', '0.2926510146', '-0.1017427511', '-1.4227098315', '-0.2130622041', '1.8104872026', '-2.1075485959', '0.4851678184', '0.2565577260', '-1.6657864447']
['2.5339035129', '0.1423054144', '0.1774079389', '0.9977811526', '0.0079796771', '-0.0499977092', '-0.0432356946', '-0.3630287172', '0.1761454736', '-1.5565928562', '0.2948398054', '-0.1004543899', '-1.4164783471', '-0.2153596804', '1.8152057016', '-2.0829036341', '0.4907301055', '0.2866978455', '-1.6921026831']
['2.5393097067', '0.1426078070', '0.1780053219', '0.9977708194', '0.0050540834', '-0.0503622340', '-0.0434913041', '-0.3593558497', '0.2018903136', '-1.5740310007', '0.2975959234', '-0.1005630749', '-1.4113030602', '-0.2171545072', '1.8198510280', '-2.0591946969', '0.4936926994', '0.3217306536', '-1.7058097329']
['2.5446978438', '0.1428884398', '0.1785293811', '0.9977472857', '0.0023757246', '-0.0508784704', '-0.0436588028', '-0.3562597822', '0.2276530451', '-1.5905608439', '0.2997214857', '-0.1020312981', '-1.4070488902', '-0.2191015049', '1.8219105392', '-2.0338080450', '0.4974874301', '0.3533106790', '-1.7249202014']
['2.5500512671', '0.1431749039', '0.1790104270', '0.9977181023', '-0.0001433207', '-0.0513630634', '-0.0438224081', '-0.3535776858', '0.2529770736', '-1.6062278698', '0.3015854267', '-0.1049012983', '-1.4038615056', '-0.2206480678', '1.8249041128', '-2.0100857057', '0.5016079006', '0.3829869312', '-1.7463322007']
['2.5553909110', '0.1434224930', '0.1793837037', '0.9976900464', '-0.0021474638', '-0.0517940785', '-0.0439014027', '-0.3502643430', '0.2790558321', '-1.6124600899', '0.3028554832', '-0.1090843458', '-1.4017743478', '-0.2223645593', '1.8254706425', '-1.9862212135', '0.5052987121', '0.4114600501', '-1.7682275648']
['2.5606646256', '0.1436752385', '0.1797247421', '0.9976608811', '-0.0041275539', '-0.0521944521', '-0.0439484791', '-0.3483364534', '0.3041838570', '-1.6231212687', '0.3040359371', '-0.1144627417', '-1.4006936421', '-0.2241057009', '1.8274941873', '-1.9637945337', '0.5091281068', '0.4390578332', '-1.7897704139']
['2.5658678421', '0.1439220325', '0.1800283140', '0.9976324657', '-0.0060674766', '-0.0525557563', '-0.0439379297', '-0.3474240359', '0.3284863274', '-1.6356124657', '0.3051399114', '-0.1210132391', '-1.4001880708', '-0.2259815985', '1.8299642308', '-1.9424341011', '0.5130197138', '0.4658729056', '-1.8104180788']
['2.5709956103', '0.1441540072', '0.1802922940', '0.9976064523', '-0.0079656158', '-0.0528677977', '-0.0438510128', '-0.3474098082', '0.3517968711', '-1.6483679366', '0.3061918485', '-0.1286511615', '-1.4000029916', '-0.2280731713', '1.8323304798', '-1.9219959347', '0.5169613130', '0.4919084456', '-1.8298790934']
['2.5760537008', '0.1443694863', '0.1805098145', '0.9975814992', '-0.0097130773', '-0.0531902147', '-0.0436761919', '-0.3484734824', '0.3740401908', '-1.6604679421', '0.3069529798', '-0.1370809834', '-1.4001464763', '-0.2294093320', '1.8326493425', '-1.9035388032', '0.5209134198', '0.5171201227', '-1.8479729752']
['2.5810397331', '0.1445674599', '0.1806823887', '0.9975589852', '-0.0112898392', '-0.0535148918', '-0.0434139036', '-0.3506549494', '0.3950486514', '-1.6714274087', '0.3074248459', '-0.1461180272', '-1.4006477499', '-0.2300571419', '1.8311899813', '-1.8873819014', '0.5249584903', '0.5413465113', '-1.8645351383']
['2.5859521257', '0.1447463564', '0.1808099594', '0.9975399732', '-0.0126693751', '-0.0538414759', '-0.0430648843', '-0.3540050586', '0.4147121023', '-1.6810079072', '0.3076599977', '-0.1555700408', '-1.4015062853', '-0.2303573703', '1.8281679777', '-1.8737095997', '0.5291572194', '0.5644604794', '-1.8794747090']
['2.5907690083', '0.1448981480', '0.1809099806', '0.9975310655', '-0.0140687932', '-0.0540141911', '-0.0426181833', '-0.3581587353', '0.4327109668', '-1.6891238702', '0.3081207346', '-0.1655418461', '-1.4028161747', '-0.2320675968', '1.8283038123', '-1.8604514745', '0.5337712758', '0.5862089280', '-1.8926674055']
['2.5955553198', '0.1450340534', '0.1808820612', '0.9975236320', '-0.0155752509', '-0.0540495687', '-0.0422215501', '-0.3601246168', '0.4486127625', '-1.6856359518', '0.3094039120', '-0.1756114427', '-1.4047165979', '-0.2346192513', '1.8301857996', '-1.8483565581', '0.5352627133', '0.6079199592', '-1.8883289503']
['2.6002432909', '0.1451494958', '0.1808548589', '0.9975253784', '-0.0168909901', '-0.0540352830', '-0.0416893529', '-0.3645821545', '0.4637343640', '-1.6869857296', '0.3102356798', '-0.1857458699', '-1.4068602638', '-0.2359821401', '1.8303199751', '-1.8392318597', '0.5389596130', '0.6284134734', '-1.8920777009']
['2.6049367020', '0.1452380184', '0.1808317729', '0.9975134985', '-0.0184971298', '-0.0541966407', '-0.0410779825', '-0.3668348721', '0.4826903360', '-1.6928011166', '0.3106283481', '-0.1975146239', '-1.4080586064', '-0.2363404848', '1.8268130524', '-1.8274755221', '0.5440651011', '0.6501774756', '-1.9011896171']
['2.6096406980', '0.1452967754', '0.1807946937', '0.9974885256', '-0.0202971246', '-0.0545142089', '-0.0404087747', '-0.3678159668', '0.5036863451', '-1.7005547023', '0.3107465096', '-0.2105089928', '-1.4086591411', '-0.2358203222', '1.8202567137', '-1.8140079045', '0.5501080108', '0.6727205951', '-1.9128220040']
['2.6143381317', '0.1453360885', '0.1807712533', '0.9974560368', '-0.0224340193', '-0.0547554179', '-0.0397493867', '-0.3676113030', '0.5253441918', '-1.7090152041', '0.3108174807', '-0.2247062754', '-1.4089834725', '-0.2355914459', '1.8182183014', '-1.7988638619', '0.5569637107', '0.6953913530', '-1.9251784135']
['2.6190327626', '0.1453547640', '0.1807528019', '0.9974152652', '-0.0247975778', '-0.0549466260', '-0.0390990675', '-0.3666174834', '0.5472358665', '-1.7175083527', '0.3108493138', '-0.2396903193', '-1.4091760643', '-0.2354761173', '1.8182383865', '-1.7829561549', '0.5643610029', '0.7180628299', '-1.9374421140']
['2.6237234636', '0.1453516960', '0.1807357694', '0.9973664627', '-0.0273197586', '-0.0550959066', '-0.0384475083', '-0.3650803526', '0.5691325022', '-1.7256871815', '0.3108524797', '-0.2551298243', '-1.4093388514', '-0.2354077999', '1.8189765218', '-1.7667386688', '0.5721362418', '0.7406074075', '-1.9491557714']
['2.6284068710', '0.1453250130', '0.1807194489', '0.9973104946', '-0.0299533673', '-0.0552018116', '-0.0377800624', '-0.3631662799', '0.5909105570', '-1.7333839314', '0.3108217170', '-0.2707360761', '-1.4095904928', '-0.2353646760', '1.8197200638', '-1.7504614835', '0.5801859047', '0.7629003479', '-1.9600545267']
['2.6330984864', '0.1452556299', '0.1806568789', '0.9972696133', '-0.0321226525', '-0.0552045226', '-0.0370663503', '-0.3578098242', '0.6141980267', '-1.7305586727', '0.3101743274', '-0.2862755417', '-1.4100475452', '-0.2350075720', '1.8175401462', '-1.7355307715', '0.5873895493', '0.7847595829', '-1.9698235986']
['2.6377798406', '0.1451644901', '0.1805952926', '0.9972186482', '-0.0343461029', '-0.0552765500', '-0.0363292698', '-0.3547342252', '0.6368003339', '-1.7333691560', '0.3093584924', '-0.3012910058', '-1.4106816776', '-0.2337061917', '1.8129237626', '-1.7222469127', '0.5948233612', '0.8064689229', '-1.9787692839']
['2.6424486451', '0.1450513764', '0.1805341044', '0.9971628877', '-0.0365173958', '-0.0553948619', '-0.0355536832', '-0.3529791382', '0.6591016618', '-1.7388916179', '0.3082938184', '-0.3156145686', '-1.4115399636', '-0.2316322605', '1.8062264713', '-1.7108757337', '0.6022550474', '0.8279097560', '-1.9868034877']
['2.6470827783', '0.1449074312', '0.1804873798', '0.9971061044', '-0.0388233148', '-0.0553856568', '-0.0347072868', '-0.3516063694', '0.6809851937', '-1.7455297466', '0.3075072557', '-0.3294143091', '-1.4127297058', '-0.2310063843', '1.8034609632', '-1.6983354343', '0.6099875794', '0.8485441384', '-1.9936252392']
['2.6516848844', '0.1447374534', '0.1804569247', '0.9970502559', '-0.0411673701', '-0.0552637059', '-0.0337928638', '-0.3504512382', '0.7024842463', '-1.7523699852', '0.3068540575', '-0.3424734439', '-1.4142357966', '-0.2310250940', '1.8026379662', '-1.6858750158', '0.6178235115', '0.8683868694', '-1.9992535860']
['2.6562669446', '0.1445504572', '0.1804367982', '0.9969988873', '-0.0433185448', '-0.0551286784', '-0.0328260744', '-0.3497500712', '0.7237190916', '-1.7589119296', '0.3059162200', '-0.3544326871', '-1.4159749391', '-0.2302307436', '1.7997399272', '-1.6762866547', '0.6253211622', '0.8876978400', '-2.0038561696']
['2.6608411068', '0.1443792179', '0.1803695333', '0.9969162692', '-0.0458415631', '-0.0551145791', '-0.0319200014', '-0.3481994165', '0.7446589072', '-1.7645874341', '0.3054729754', '-0.3650379678', '-1.4179796683', '-0.2283163619', '1.7951030763', '-1.6694967448', '0.6279192344', '0.9076130723', '-1.9904781402']
['2.6653889235', '0.1441886585', '0.1803275085', '0.9968524675', '-0.0479448314', '-0.0550499966', '-0.0309184246', '-0.3474675797', '0.7653091867', '-1.7697091957', '0.3044425064', '-0.3744574887', '-1.4200862927', '-0.2259835123', '1.7887896504', '-1.6653678524', '0.6332614741', '0.9267738720', '-1.9861756486']
['2.6698900305', '0.1439718486', '0.1803166847', '0.9968046718', '-0.0499313492', '-0.0547686919', '-0.0297942445', '-0.3470281414', '0.7854388988', '-1.7742832201', '0.3035681079', '-0.3830015327', '-1.4223333003', '-0.2256202654', '1.7869870805', '-1.6599895495', '0.6402400873', '0.9448070616', '-1.9858183172']
['2.6743498996', '0.1437368997', '0.1803379297', '0.9967706834', '-0.0518092042', '-0.0542901699', '-0.0285760129', '-0.3468148193', '0.8050406734', '-1.7782872880', '0.3028873484', '-0.3905481690', '-1.4246644193', '-0.2260175953', '1.7873152427', '-1.6547244607', '0.6478890728', '0.9617968773', '-1.9868445952']
['2.6787820179', '0.1434933719', '0.1803850844', '0.9967512261', '-0.0534409679', '-0.0537213694', '-0.0272959822', '-0.3470185954', '0.8242401522', '-1.7816976814', '0.3021124204', '-0.3968299395', '-1.4269670149', '-0.2255515978', '1.7855870406', '-1.6521861802', '0.6554273926', '0.9780118349', '-1.9880369796']
['2.6831880543', '0.1432427896', '0.1804588239', '0.9967470085', '-0.0548329174', '-0.0530597521', '-0.0259502404', '-0.3476490761', '0.8430414518', '-1.7845198888', '0.3012894274', '-0.4018608788', '-1.4291778309', '-0.2243142509', '1.7818002498', '-1.6515014336', '0.6625533707', '0.9933713133', '-1.9886668333']
['2.6875687174', '0.1429892583', '0.1805557589', '0.9967574266', '-0.0559963033', '-0.0523133685', '-0.0245429822', '-0.3487002727', '0.8614468365', '-1.7867608108', '0.3004650030', '-0.4056577064', '-1.4312331833', '-0.2223846357', '1.7761482957', '-1.6524865918', '0.6690794248', '1.0078918249', '-1.9884777844']
['2.6919405008', '0.1427018676', '0.1806173967', '0.9968191356', '-0.0564362032', '-0.0513268469', '-0.0230677419', '-0.3469228703', '0.8767489365', '-1.7762805531', '0.2994263419', '-0.4084385493', '-1.4331559625', '-0.2204828390', '1.7687973590', '-1.6550178308', '0.6739163507', '1.0212553070', '-1.9870158889']
['2.6963071104', '0.1424131383', '0.1807292313', '0.9968717544', '-0.0569277831', '-0.0504185338', '-0.0215384353', '-0.3473809030', '0.8936524888', '-1.7724067428', '0.2970965718', '-0.4109026585', '-1.4357441717', '-0.2180510821', '1.7606505030', '-1.6606302647', '0.6787788939', '1.0342147725', '-1.9846972993']
['2.7006721939', '0.1421207171', '0.1808845002', '0.9969201659', '-0.0574061395', '-0.0495658082', '-0.0199486514', '-0.3490053221', '0.9113961445', '-1.7716384066', '0.2936206403', '-0.4130875819', '-1.4388084732', '-0.2152584861', '1.7517350345', '-1.6687239685', '0.6835200559', '1.0466535773', '-1.9814710759']
['2.7050138774', '0.1418105962', '0.1810926540', '0.9969583302', '-0.0581606184', '-0.0485580360', '-0.0182632817', '-0.3506209802', '0.9292375368', '-1.7721321979', '0.2898659686', '-0.4154471500', '-1.4422666280', '-0.2152516405', '1.7495119117', '-1.6744733396', '0.6886722557', '1.0578934140', '-1.9770022851']
['2.7093579514', '0.1415000506', '0.1813418598', '0.9969950526', '-0.0588831138', '-0.0475440292', '-0.0165290420', '-0.3524470060', '0.9470489131', '-1.7727697195', '0.2853622720', '-0.4175823032', '-1.4458918494', '-0.2146954508', '1.7460075124', '-1.6821405878', '0.6936134620', '1.0684749862', '-1.9716094502']
['2.7137066232', '0.1411878448', '0.1816268793', '0.9970317541', '-0.0595585487', '-0.0465065453', '-0.0147513342', '-0.3543234196', '0.9646575318', '-1.7730631980', '0.2803158778', '-0.4195072412', '-1.4495460072', '-0.2136647663', '1.7412365317', '-1.6912417010', '0.6983095179', '1.0783834525', '-1.9653249909']
['2.7180619871', '0.1408737882', '0.1819435171', '0.9970690342', '-0.0601808808', '-0.0454345725', '-0.0129345358', '-0.3561698114', '0.9819601781', '-1.7727676591', '0.2749199857', '-0.4212275406', '-1.4531095522', '-0.2122220996', '1.7352501030', '-1.7013290945', '0.7027500028', '1.0876172731', '-1.9581875359']
['2.7224261691', '0.1405591554', '0.1822890970', '0.9971066411', '-0.0607527497', '-0.0443245772', '-0.0110806842', '-0.3579441767', '0.9988930375', '-1.7717470285', '0.2693456219', '-0.4227397095', '-1.4564814232', '-0.2104189812', '1.7281374901', '-1.7119977764', '0.7069462945', '1.0961863155', '-1.9502408268']
['2.7268012791', '0.1402453496', '0.1826608126', '0.9971442477', '-0.0612765062', '-0.0431745841', '-0.0091920816', '-0.3596284868', '1.0154244644', '-1.7699520470', '0.2637469438', '-0.4240384071', '-1.4595821057', '-0.2083071188', '1.7200172947', '-1.7228934474', '0.7109094215', '1.1041060373', '-1.9415282374']
['2.7311894112', '0.1399338613', '0.1830556933', '0.9971815235', '-0.0617535759', '-0.0419837206', '-0.0072713374', '-0.3612188449', '1.0315414767', '-1.7673790589', '0.2582595607', '-0.4251177767', '-1.4623528022', '-0.2059387181', '1.7110336314', '-1.7337142905', '0.7146480819', '1.1113962644', '-1.9320921258']
['2.7355867381', '0.1396397707', '0.1834209453', '0.9971719275', '-0.0628229274', '-0.0408989216', '-0.0053577086', '-0.3614348172', '1.0471673571', '-1.7636280400', '0.2539003230', '-0.4259172837', '-1.4647747677', '-0.2028434176', '1.7014732263', '-1.7441838445', '0.7117781605', '1.1185883370', '-1.9068402305']
